,Name,SMILES,RTI,exact mass,formula,logP,POS,NEG,mz_pos,mz_neg,NAPS_POS_1,NAPS_POS_2,NAPS_POS_3,NAPS_POS_4,NAPS_POS_5,NAPS_POS_6,NAPS_NEG_1,NAPS_NEG_2,NAPS_NEG_3,NAPS_NEG_4,NAPS_NEG_5,NAPS_NEG_6
C1-NAPS,C1-APS,C[N+]1=CC(=CC=C1)S([O-])(=O)=O,100,173.0146643,C6H7NO3S,-4.01,[M+H]+,[M+CHO2]-,174.0219403,218.0128643,24.48899925,24.48899925,24.50800002,24.49000061,24.50700045,24.51500058,NA,NA,NA,NA,NA,NA
C2-NAPS,C2-APS,CC[N+]1=CC(=CC=C1)S([O-])(=O)=O,200,187.0303143,C7H9NO3S,-3.65,[M+H]+,[M+CHO2]-,188.0375903,232.0285143,25.85900009,25.85900009,25.87900043,25.86099923,25.87800086,25.8859992,NA,NA,NA,NA,NA,NA
C3-NAPS,C3-APS,CCC[N+]1=CC(=CC=C1)S([O-])(=O)=O,300,201.0459644,C8H11NO3S,-3.13,[M+H]+,[M+CHO2]-,202.0532404,246.0441644,27.91499913,27.91499913,27.70599961,27.70299912,27.70500004,27.71300018,NA,NA,NA,NA,NA,NA
C4-NAPS,C4-APS,CCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O,400,215.0616145,C9H13NO3S,-2.68,[M+H]+,[M+CHO2]-,216.0688905,260.0598145,28.37199926,28.37199926,27.47799933,27.47500062,27.47699976,27.4849999,27.47100055,27.48000026,27.71499932,27.92800069,NA,NA
C5-NAPS,C5-APS,CCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O,500,229.0772645,C10H15NO3S,-2.24,[M+H]+,[M+CHO2]-,230.0845405,274.0754645,112.7760029,112.7760029,111.8910027,110.5050015,111.9110012,110.5449986,108.4830022,108.6949968,109.4140005,109.6570015,NA,106.3710022
C6-NAPS,C6-APS,CCCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O,600,243.0929146,C11H17NO3S,-1.79,[M+H]+,[M+CHO2]-,244.1001906,288.0911146,189.2459965,189.2459965,189.0430069,189.0310049,189.0689993,189.0969944,187.9470062,188.1949997,188.4170008,188.6530066,188.508997,188.5010004
C7-NAPS,C7-APS,CCCCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O,700,257.1085647,C12H19NO3S,-1.35,[M+H]+,[M+CHO2]-,258.1158407,302.1067647,232.4370003,232.4370003,232.241993,232.2380018,232.2749949,232.086997,231.6029978,231.8380022,231.843996,231.8580008,231.7040062,231.9250059
C8-NAPS,C8-APS,CCCCCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O,800,271.1242147,C13H21NO3S,-0.9,[M+H]+,[M+CHO2]-,272.1314907,316.1224147,266.5609932,266.5609932,266.3410091,266.344986,266.3899899,266.4080143,265.9230137,265.9610081,265.9430122,266.0010052,265.590992,265.8080006
C9-NAPS,C9-APS,CCCCCCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O,900,285.1398648,C14H23NO3S,-0.46,[M+H]+,[M+CHO2]-,286.1471408,330.1380648,295.8130074,295.8130074,295.6010056,295.824995,295.8760071,295.6700134,295.4039955,295.4380131,295.4360104,295.4800129,295.3100109,295.2969933
C10-NAPS,C10-APS,CCCCCCCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O,1000,299.1555148,C15H25NO3S,-0.02,[M+H]+,[M+CHO2]-,300.1627908,344.1537148,322.6100063,322.6100063,322.40201,322.6209927,322.694006,322.4840069,322.2159863,322.244997,322.4580002,322.2629929,390.1256657,322.3219872
C11-NAPS,C11-APS,CCCCCCCCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O,1100,313.1711649,C16H27NO3S,0.43,[M+H]+,[M+CHO2]-,314.1784409,358.1693649,347.9849911,347.9849911,347.7600002,347.7519894,347.8369904,347.8700066,347.580986,347.6119995,347.5940037,347.6309967,347.4660015,347.6820087
C12-NAPS,C12-APS,CCCCCCCCCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O,1200,327.186815,C17H29NO3S,0.87,[M+H]+,[M+CHO2]-,328.194091,372.185015,372.262001,372.262001,372.2729874,372.2949886,372.3359871,372.3829937,372.1059895,372.1119976,372.1150017,372.1440125,371.9979858,372.1949959
C13-NAPS,C13-APS,CCCCCCCCCCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O,1300,341.202465,C18H31NO3S,1.32,[M+H]+,[M+CHO2]-,342.209741,386.200665,396.5039921,396.5039921,396.5029907,396.7369938,396.5679932,396.6129971,396.3440037,396.3359928,396.5800095,396.3880062,396.2289906,396.4100075
C14-NAPS,C14-APS,CCCCCCCCCCCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O,1400,355.2181151,C19H33NO3S,1.76,[M+H]+,[M+CHO2]-,356.2253911,400.2163151,420.6340027,420.6340027,420.6019878,420.6229877,420.6869888,420.6150055,420.5609894,420.5780125,420.5889988,420.6140041,420.4589939,420.5239964
C15-NAPS,C15-APS,CCCCCCCCCCCCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O,1500,369.2337652,C20H35NO3S,2.21,[M+H]+,[M+CHO2]-,370.2410412,414.2319652,444.8099899,444.8099899,444.5419979,444.7800064,444.6790123,444.691,444.6170139,444.630003,444.6439934,444.4489861,444.5119858,444.6869946
C16-NAPS,C16-APS,CCCCCCCCCCCCCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O,1600,383.2494152,C21H37NO3S,2.65,[M+H]+,[M+CHO2]-,384.2566912,428.2476152,468.3580112,468.3580112,468.3130074,468.3330059,468.4420109,468.2339859,468.1769943,468.1709862,468.1949902,468.2189941,468.2829952,468.4539986
C17-NAPS,C17-APS,CCCCCCCCCCCCCCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O,1700,397.2650653,C22H39NO3S,3.1,[M+H]+,[M+CHO2]-,398.2723413,442.2632653,491.7160034,491.7160034,491.7010117,491.692028,491.5850258,491.6230202,491.5330124,491.5270042,491.5790176,491.3520241,491.4289856,491.6119766
C18-NAPS,C18-APS,CCCCCCCCCCCCCCCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O,1800,411.2807154,C23H41NO3S,3.54,[M+H]+,[M+CHO2]-,412.2879914,456.2789154,514.3610001,514.3610001,514.3279839,514.348011,514.4579887,514.2519951,514.4000244,514.3810272,514.2030144,514.2030144,514.2779732,514.4740105
C19-NAPS,C19-APS,CCCCCCCCCCCCCCCCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O,1900,425.2963654,C24H43NO3S,3.99,[M+H]+,[M+CHO2]-,426.3036414,470.2945654,536.3049889,536.3049889,536.283989,536.2790108,536.3889885,536.1950111,536.1340141,536.094017,536.1559868,536.1519814,536.2200165,536.4030075
C20-NAPS,C20-APS,CCCCCCCCCCCCCCCCCCCC[N+]1=CC(=CC=C1)S([O-])(=O)=O,2000,439.3120155,C25H45NO3S,4.43,[M+H]+,[M+CHO2]-,440.3192915,484.3102155,556.937027,556.937027,556.9100189,556.8959999,557.0219994,556.8309975,556.7650223,556.9730186,556.7910004,556.767025,556.841011,557.0389938
